year,state_code,county_code,appalachian
FY2017,01,001,N
FY2017,01,003,N
FY2017,01,005,N
FY2017,01,007,Y
FY2017,01,009,Y
FY2017,01,011,N
FY2017,01,013,N
FY2017,01,015,Y
FY2017,01,017,Y
FY2017,01,019,Y
FY2017,01,021,Y
FY2017,01,023,N
FY2017,01,025,N
FY2017,01,027,Y
FY2017,01,029,Y
FY2017,01,031,N
FY2017,01,033,Y
FY2017,01,035,N
FY2017,01,037,Y
FY2017,01,039,N
FY2017,01,041,N
FY2017,01,043,Y
FY2017,01,045,N
FY2017,01,047,N
FY2017,01,049,Y
FY2017,01,051,Y
FY2017,01,053,N
FY2017,01,055,Y
FY2017,01,057,Y
FY2017,01,059,Y
FY2017,01,061,N
FY2017,01,063,N
FY2017,01,065,Y
FY2017,01,067,N
FY2017,01,069,N
FY2017,01,071,Y
FY2017,01,073,Y
FY2017,01,075,Y
FY2017,01,077,Y
FY2017,01,079,Y
FY2017,01,081,N
FY2017,01,083,Y
FY2017,01,085,N
FY2017,01,087,Y
FY2017,01,089,Y
FY2017,01,091,N
FY2017,01,093,Y
FY2017,01,095,Y
FY2017,01,097,N
FY2017,01,099,N
FY2017,01,101,N
FY2017,01,103,Y
FY2017,01,105,N
FY2017,01,107,Y
FY2017,01,109,N
FY2017,01,111,Y
FY2017,01,113,N
FY2017,01,115,Y
FY2017,01,117,Y
FY2017,01,119,N
FY2017,01,121,Y
FY2017,01,123,Y
FY2017,01,125,Y
FY2017,01,127,Y
FY2017,01,129,N
FY2017,01,131,N
FY2017,01,133,Y
FY2017,02,013,N
FY2017,02,016,N
FY2017,02,020,N
FY2017,02,050,N
FY2017,02,060,N
FY2017,02,068,N
FY2017,02,070,N
FY2017,02,090,N
FY2017,02,100,N
FY2017,02,105,N
FY2017,02,110,N
FY2017,02,122,N
FY2017,02,130,N
FY2017,02,150,N
FY2017,02,158,N
FY2017,02,164,N
FY2017,02,170,N
FY2017,02,180,N
FY2017,02,185,N
FY2017,02,188,N
FY2017,02,195,N
FY2017,02,198,N
FY2017,02,220,N
FY2017,02,230,N
FY2017,02,240,N
FY2017,02,261,N
FY2017,02,275,N
FY2017,02,282,N
FY2017,02,290,N
FY2017,04,001,N
FY2017,04,003,N
FY2017,04,005,N
FY2017,04,007,N
FY2017,04,009,N
FY2017,04,011,N
FY2017,04,012,N
FY2017,04,013,N
FY2017,04,015,N
FY2017,04,017,N
FY2017,04,019,N
FY2017,04,021,N
FY2017,04,023,N
FY2017,04,025,N
FY2017,04,027,N
FY2017,05,001,N
FY2017,05,003,N
FY2017,05,005,N
FY2017,05,007,N
FY2017,05,009,N
FY2017,05,011,N
FY2017,05,013,N
FY2017,05,015,N
FY2017,05,017,N
FY2017,05,019,N
FY2017,05,021,N
FY2017,05,023,N
FY2017,05,025,N
FY2017,05,027,N
FY2017,05,029,N
FY2017,05,031,N
FY2017,05,033,N
FY2017,05,035,N
FY2017,05,037,N
FY2017,05,039,N
FY2017,05,041,N
FY2017,05,043,N
FY2017,05,045,N
FY2017,05,047,N
FY2017,05,049,N
FY2017,05,051,N
FY2017,05,053,N
FY2017,05,055,N
FY2017,05,057,N
FY2017,05,059,N
FY2017,05,061,N
FY2017,05,063,N
FY2017,05,065,N
FY2017,05,067,N
FY2017,05,069,N
FY2017,05,071,N
FY2017,05,073,N
FY2017,05,075,N
FY2017,05,077,N
FY2017,05,079,N
FY2017,05,081,N
FY2017,05,083,N
FY2017,05,085,N
FY2017,05,087,N
FY2017,05,089,N
FY2017,05,091,N
FY2017,05,093,N
FY2017,05,095,N
FY2017,05,097,N
FY2017,05,099,N
FY2017,05,101,N
FY2017,05,103,N
FY2017,05,105,N
FY2017,05,107,N
FY2017,05,109,N
FY2017,05,111,N
FY2017,05,113,N
FY2017,05,115,N
FY2017,05,117,N
FY2017,05,119,N
FY2017,05,121,N
FY2017,05,123,N
FY2017,05,125,N
FY2017,05,127,N
FY2017,05,129,N
FY2017,05,131,N
FY2017,05,133,N
FY2017,05,135,N
FY2017,05,137,N
FY2017,05,139,N
FY2017,05,141,N
FY2017,05,143,N
FY2017,05,145,N
FY2017,05,147,N
FY2017,05,149,N
FY2017,06,001,N
FY2017,06,003,N
FY2017,06,005,N
FY2017,06,007,N
FY2017,06,009,N
FY2017,06,011,N
FY2017,06,013,N
FY2017,06,015,N
FY2017,06,017,N
FY2017,06,019,N
FY2017,06,021,N
FY2017,06,023,N
FY2017,06,025,N
FY2017,06,027,N
FY2017,06,029,N
FY2017,06,031,N
FY2017,06,033,N
FY2017,06,035,N
FY2017,06,037,N
FY2017,06,039,N
FY2017,06,041,N
FY2017,06,043,N
FY2017,06,045,N
FY2017,06,047,N
FY2017,06,049,N
FY2017,06,051,N
FY2017,06,053,N
FY2017,06,055,N
FY2017,06,057,N
FY2017,06,059,N
FY2017,06,061,N
FY2017,06,063,N
FY2017,06,065,N
FY2017,06,067,N
FY2017,06,069,N
FY2017,06,071,N
FY2017,06,073,N
FY2017,06,075,N
FY2017,06,077,N
FY2017,06,079,N
FY2017,06,081,N
FY2017,06,083,N
FY2017,06,085,N
FY2017,06,087,N
FY2017,06,089,N
FY2017,06,091,N
FY2017,06,093,N
FY2017,06,095,N
FY2017,06,097,N
FY2017,06,099,N
FY2017,06,101,N
FY2017,06,103,N
FY2017,06,105,N
FY2017,06,107,N
FY2017,06,109,N
FY2017,06,111,N
FY2017,06,113,N
FY2017,06,115,N
FY2017,08,001,N
FY2017,08,003,N
FY2017,08,005,N
FY2017,08,007,N
FY2017,08,009,N
FY2017,08,011,N
FY2017,08,013,N
FY2017,08,014,N
FY2017,08,015,N
FY2017,08,017,N
FY2017,08,019,N
FY2017,08,021,N
FY2017,08,023,N
FY2017,08,025,N
FY2017,08,027,N
FY2017,08,029,N
FY2017,08,031,N
FY2017,08,033,N
FY2017,08,035,N
FY2017,08,037,N
FY2017,08,039,N
FY2017,08,041,N
FY2017,08,043,N
FY2017,08,045,N
FY2017,08,047,N
FY2017,08,049,N
FY2017,08,051,N
FY2017,08,053,N
FY2017,08,055,N
FY2017,08,057,N
FY2017,08,059,N
FY2017,08,061,N
FY2017,08,063,N
FY2017,08,065,N
FY2017,08,067,N
FY2017,08,069,N
FY2017,08,071,N
FY2017,08,073,N
FY2017,08,075,N
FY2017,08,077,N
FY2017,08,079,N
FY2017,08,081,N
FY2017,08,083,N
FY2017,08,085,N
FY2017,08,087,N
FY2017,08,089,N
FY2017,08,091,N
FY2017,08,093,N
FY2017,08,095,N
FY2017,08,097,N
FY2017,08,099,N
FY2017,08,101,N
FY2017,08,103,N
FY2017,08,105,N
FY2017,08,107,N
FY2017,08,109,N
FY2017,08,111,N
FY2017,08,113,N
FY2017,08,115,N
FY2017,08,117,N
FY2017,08,119,N
FY2017,08,121,N
FY2017,08,123,N
FY2017,08,125,N
FY2017,09,001,N
FY2017,09,003,N
FY2017,09,005,N
FY2017,09,007,N
FY2017,09,009,N
FY2017,09,011,N
FY2017,09,013,N
FY2017,09,015,N
FY2017,10,001,N
FY2017,10,003,N
FY2017,10,005,N
FY2017,11,001,N
FY2017,12,001,N
FY2017,12,003,N
FY2017,12,005,N
FY2017,12,007,N
FY2017,12,009,N
FY2017,12,011,N
FY2017,12,013,N
FY2017,12,015,N
FY2017,12,017,N
